name,id,home,team,pos,defense_ast,defense_ffum,defense_fgblk,defense_frec,defense_frec_tds,defense_frec_yds,defense_int,defense_int_tds,defense_int_yds,defense_misc_tds,defense_misc_yds,defense_pass_def,defense_puntblk,defense_qbhit,defense_safe,defense_sk,defense_sk_yds,defense_tds,defense_tkl,defense_tkl_loss,defense_tkl_loss_yds,defense_tkl_primary,defense_xpblk,fumbles_forced,fumbles_lost,fumbles_notforced,fumbles_oob,fumbles_rcv,fumbles_rec,fumbles_rec_tds,fumbles_rec_yds,fumbles_tot,fumbles_trcv,fumbles_yds,kicking_fga,kicking_fgb,kicking_fgm,kicking_fgm_yds,kicking_fgmissed,kicking_fgmissed_yds,kicking_fgyds,kicking_i20,kicking_rec,kicking_tot,kicking_totpfg,kicking_touchback,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_xptot,kicking_yds,kickret_avg,kickret_fair,kickret_lng,kickret_lngtd,kickret_ret,kickret_tds,kickret_yds,passing_att,passing_cmp,passing_cmp_air_yds,passing_incmp,passing_incmp_air_yds,passing_int,passing_ints,passing_sk,passing_sk_yds,passing_tds,passing_twopta,passing_twoptm,passing_twoptmissed,passing_yds,penalty,penalty_yds,punting_avg,punting_blk,punting_i20,punting_lng,punting_pts,punting_tot,punting_touchback,punting_yds,puntret_avg,puntret_fair,puntret_lng,puntret_lngtd,puntret_ret,puntret_tds,puntret_tot,puntret_yds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tar,receiving_tds,receiving_twopta,receiving_twoptm,receiving_twoptmissed,receiving_yac_yds,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_twoptmissed,rushing_yds
M.McNeill,00-0028651,no,STL,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,0,4,7,0,0,0,,15,31,,,,,,,,
B.Cundiff,00-0020972,no,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,7,260,5,222,145,5,,29,21,18,17,0,17,0,17,1841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Brees,00-0020531,no,NO,QB,,,,,,,,,,,,,,,,,,,1,,,,,5,1,,,2,2,,0,5,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,670,422,3023,248,2221,19,19,26,-190,43,0,0,,5177,6,69,,,,,,,,,,,,,,,,,,,,,,,,,,,15,9,1,1,0,0,,5
M.Colston,00-0024466,no,NO,WR,,,,,,,,,,,,,,,,,,,1,,,,,4,2,,2,0,,,,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,15,,,,,,,,,,,,,,,,,398,83,83,130,10,0,0,,292,1154,,,,,,,,
A.Carriker,00-0025400,no,WAS,,0,0,,,,,0,,,,,,,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L.Moore,00-0023310,no,NO,WR,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,5,3,5,0,1,0,1,5,434,93,65,104,6,0,0,,143,1041,,,,,,,,
S.Bowen,00-0023954,no,WAS,DE,11,0,,,,,0,,,,,3,,7,,2.5,-23,,16,5,15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Morstead,00-0027114,no,NO,P,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,15,,90,,45,,,,,,5698,,,,,,,,,,,,,,,,,,,,,,,,689,,20,943,74,74,6,3707,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Shanle,00-0022040,no,NO,,8,0,,,,,0,,,,,1,,,,0,,,13,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Banks,00-0027618,no,WAS,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,1,3,3,,5,3,3,5,,,,,,,,,,,,,,,,,,,184,,241,0,22,0,527,,,,,,,,,,,,,,,,,,,,,,,,,67,5,119,0,26,0,26,178,24,0,8,8,0,0,0,,34,15,7,29,0,0,0,0,,36
R.Griffin,00-0029665,no,WAS,QB,,,,,,,,,,,,,,,,,,,1,,,,,6,2,6,,4,4,,-21,12,4,-21,,,,,,,,,,,,,,,,,,,,,,,,,,394,259,1758,135,1492,5,5,32,-230,20,0,0,,3211,5,43,,,,,,,,,,,,,,,,,,,,1,,,,,,,118,311,100,7,0,0,,833
P.Garcon,00-0026345,no,WAS,WR,,,,,,,,,,,,,,,,,,,3,,,,,,0,,,2,2,1,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,48,,,,,,,,,,,,,,,,,316,166,45,68,4,0,0,,313,644,1,2,0,0,0,0,,2
C.White,00-0029658,no,NO,DB,6,0,,,,,1,,0,,,3,,3,,0,,,26,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Harper,00-0024258,no,NO,SS,27,0,,,,,2,,41,,,11,,1,,0,,,89,4,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Lofton,00-0026177,no,NO,MLB,41,2,,2,,0,0,,,,,7,,2,,1,-12,,82,7,31,6,,,0,,,0,,,,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Robinson,00-0028116,no,WAS,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,15,,,,,,,,,,,,,,,,,202,122,11,19,3,0,0,,62,237,1,14,0,0,0,0,,14
A.Morris,00-0029141,no,WAS,RB,,,,,,,,,,,,,,,,,,,3,,,,,3,3,1,,2,2,,0,4,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,,,,,,,,,,,,,,,,,65,0,11,16,0,0,0,,64,77,335,344,102,13,0,0,,1606
C.Jordan,00-0027962,no,NO,DE,26,2,,2,,0,0,,,,,3,,10,,7,-50,,39,8,39,2,,,0,,,0,,,,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Bunkley,00-0024229,no,NO,,12,0,,,,,0,,,,,2,,2,,2,-6,,10,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W.Smith,00-0022911,no,NO,,25,0,,,,,0,,,,,2,,17,,6,-40,,33,10,45,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Helu,00-0028043,no,WAS,RB,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,,,30,0,7,7,0,0,0,,47,45,2,1,0,0,0,0,,2
J.Casillas,00-0026832,no,NO,LB,10,0,,2,,0,0,,,,,1,,,,0,,,20,1,1,,,,0,,,0,,,,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.Riley,00-0027704,no,WAS,ILB,55,1,,1,,0,0,,,,,7,,4,,3,-20,,72,6,36,14,,,0,,,0,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Gomes,00-0028084,no,WAS,,14,0,,1,,13,1,,49,,,4,,,,0,,,26,,,1,,,0,,,0,,,,0,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.Thomas,00-0024813,no,NO,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,1,,0,0,1,0,,,,,,,,,,,,,,,,,,,64,,68,0,5,0,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,5,39,53,1,0,0,,363,354,105,160,5,1,0,0,,473
J.Graham,00-0027696,no,NO,TE,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,2,2,,0,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,50,,,,,,,,,,,,,,,,,309,95,85,135,9,0,0,,306,982,,,,,,,,
J.Wilson,00-0025442,no,WAS,DB,20,3,,2,1,30,2,,8,,,13,,1,,1,-12,1,54,,,9,,,0,,,0,,,,0,2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,61,,,,,,,,,1,,1,0,1,0,1,1,,,,,,,,,,,,,,,,,,
M.Ingram,00-0027966,no,NO,RB,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,1,,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,,,,,,,,,,,,,,22,0,6,10,0,0,0,,32,29,156,191,49,5,0,0,,602
B.Orakpo,00-0026989,no,WAS,OLB,0,1,,,,,0,,,,,3,,,,1,-2,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Sproles,00-0023564,no,NO,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,,226,0,18,0,483,,,,,,,,,,,,,,,,,,,,,,,,,79,14,120,0,23,0,23,183,257,90,75,104,7,0,0,,660,667,48,149,13,1,1,1,,244
R.Kerrigan,00-0027954,no,WAS,OLB,12,2,,1,,0,1,1,28,,,8,,12,,7.5,-48,1,41,9,48,5,,,0,,,0,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.Hartley,00-0025824,no,NO,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,18,588,4,174,455,,,2,54,,57,0,57,0,57,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Robinson,00-0029545,no,WAS,ILB,2,0,,,,,0,,,,,,,,,0,,,8,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Jenkins,00-0026990,no,NO,FS,29,0,1,1,,0,1,1,55,,0,7,,1,,0,,1,65,2,6,1,,,0,,,0,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mad.Williams,00-0022842,no,WAS,,33,0,,,,,1,1,24,,,6,,2,,1,-7,1,66,3,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Collins,00-0026072,no,NO,,,,,,,,,,,,,,,,,,,,2,,,,,1,1,,,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,0,,0,0,1,0,0,,,,,,,,,,,,,,,2,20,,,,,,,,,,,,,,,,,56,8,14,16,2,0,0,,59,70,,,,,,,,
Z.Strief,00-0024424,no,NO,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Ellis,00-0026147,no,NO,,23,0,,,,,0,,,,,1,,5,,0,,,13,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Patrick,00-0028026,no,NO,,3,0,,,,,0,,,,,2,,,,0,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Young,00-0026852,no,WAS,FB,4,,,,,,,,,,,,,,,,,,1,,,,,,0,,,1,1,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,,,93,12,8,9,2,0,0,,77,109,14,41,0,0,0,0,,60
F.Davis,00-0026188,no,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,36,,,,,,,,,,,,,,,,,136,0,24,31,0,0,0,,129,325,1,1,0,0,0,0,,1
D.Hawthorne,00-0025999,no,NO,OLB,16,0,,,,,0,,,,,1,,,,0,,,21,4,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Moss,00-0020494,no,WAS,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,1,1,,-4,2,1,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,369,201,41,62,8,0,0,,237,573,3,14,0,0,0,0,,14
P.Robinson,00-0027882,no,NO,DB,11,1,,,,,3,1,99,,,18,,1,,1,-9,1,52,1,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,85,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
D.Hall,00-0022923,no,WAS,CB,27,0,,1,,0,4,,62,,,14,,1,,1,-7,,67,7,19,11,,,0,1,,1,1,,0,1,2,0,,,,,,,,,,,,,,,,,,,43,,43,0,1,0,43,,,,,,,,,,,,,,,7,77,,,,,,,,,0,,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,
J.Morgan,00-0026314,no,WAS,,,,,,,,,,,,,,,,,,,,1,,,,,1,0,,,2,2,1,13,1,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,1,32,,0,,,0,0,0,,0,3,35,,,,,,,,,,,,,,,,,238,15,48,73,2,0,0,,235,510,3,25,0,0,0,0,,25
L.Fletcher,00-0005322,no,WAS,,63,1,,,,,5,,29,,,11,,4,,3,-22,,78,5,36,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Griffin,00-0024263,no,WAS,,8,1,,,,,0,,,,,4,,,,0,,,25,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Thomas,00-0024301,no,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,55,,,,,,,,,,,,,,,,,55,38,11,17,4,0,0,,43,86,,,,,,,,
J.Galette,00-0027551,no,NO,DE,3,1,,,,,0,,,,,,,9,,5,-22,,17,6,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,0,1,0,2,,,,,,,,,,,,,,,2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.Royster,00-0028115,no,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,39,0,2,0,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,0,15,23,0,0,0,,112,109,23,58,6,2,0,0,,88
M.Wilson,00-0028010,no,NO,,5,1,,1,,0,0,,,,,2,1,4,,3,-18,,14,1,3,,,,0,,,0,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Rocca,00-0024515,no,WAS,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,592,2,22,858,68,68,3,2984,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Roby,00-0023503,no,NO,,2,,,,,,,,,1,4,,,,,,,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,25,,,,,,,,,,,,,,,,,9,0,1,2,0,0,0,,5,9,,,,,,,,
T.Cadet,00-0029205,no,NO,RB,,,,,,,,,,,,,,,,,,,4,,,,,1,1,,,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,238,,296,0,26,0,690,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,0,1,0,1,2,30,0,5,8,0,0,0,,51,44,1,5,0,0,0,0,,5
W.Herring,00-0025548,no,NO,,3,1,,,,,0,,,,,,,,,0,,,10,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Murphy,00-0027670,no,NO,,2,0,,,,,0,,,,,,,,,0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Henderson,00-0022929,no,NO,,,,,,,,,,,,,,,,,,,,2,,,,,1,0,,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,15,,,,,,,,,,,,,,,,,182,40,22,47,1,0,0,,79,316,1,13,0,0,0,0,,13
K.Lichtensteiger,00-0026248,no,WAS,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Bush,00-0027195,no,NO,FS,4,1,,2,,1,1,,40,,,1,,,,0,,,16,,,,,,0,,,0,,,,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Jenkins,00-0027979,no,WAS,DE,14,0,,,,,0,,,,,,,3,,0,,,10,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Cofield,00-0024339,no,WAS,,22,1,,,,,0,,,,,6,,13,,2.5,-22,,15,5,21,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Johnson,00-0024030,no,NO,DT,10,0,,,,,0,,,,,,,6,,2,-20,,19,3,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Williams,00-0027857,no,WAS,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Crawford,00-0028996,no,WAS,,5,0,,1,,10,1,,12,,,2,,,,0,,,13,,,,,,0,,,0,,,,0,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,2,112,0,8,0,8,156,,,,,,,,,,,,,,,,,,
J.Morgan,00-0028532,no,NO,WR,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,15,,,,,,,,,,,,,,,,,308,162,10,21,3,0,0,,87,379,1,1,0,0,0,0,,1
J.Evans,00-0024323,no,NO,G,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I.Abdul-Quddus,00-0028564,no,NO,SS,12,0,,1,,0,2,,12,,,7,,,,0,,,33,,,1,,,0,,,0,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Doughty,00-0024387,no,WAS,,27,0,,,,,1,,1,,,1,,1,,0,,,44,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L.Paulsen,00-0027215,no,WAS,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,55,,,,,,,,,,,,,,,,,172,17,25,38,1,0,0,,122,308,,,,,,,,
P.Dawson,00-0004091,no,CLE,K,1,0,,,,,0,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,31,1,29,1086,2,67,530,21,,77,87,30,29,0,29,0,29,4820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Havili,00-0028178,no,PHI,,1,0,,,,,0,,,,,,,,,0,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,18,0,2,0,18,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,43,0,7,12,0,0,0,,21,43,6,15,1,1,0,0,,22
L.Fort,00-0028932,no,CLE,,7,0,,,,,1,,10,,,3,,2,,1,-1,,13,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Winn,00-0029303,no,CLE,DT,7,0,,2,,35,1,,0,,,3,,5,,1,-6,,19,5,20,3,,,0,,,0,,,,0,2,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Vick,00-0020245,no,PHI,QB,1,,,,,,,,,,,,,,,,,,2,,,,,7,5,4,,3,3,,-25,11,3,-25,,,,,,,,,,,,,,,,,,,,,,,,,,351,204,1363,147,1710,10,10,28,-165,12,0,0,,2362,2,35,,,,,,,,,,,,,,,,,,,,,,,,,,,62,126,1,1,0,0,,345
L.McCoy,00-0027029,no,PHI,RB,,,,,,,,,,,,,,,,,,,1,,,,,3,3,1,1,2,2,,0,4,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,183,24,54,67,3,0,0,,470,373,200,209,3,2,0,0,,840
C.Robertson,00-0028834,no,CLE,ILB,32,0,,2,,2,2,,1,,,3,,3,,1,-10,,63,4,25,5,,,0,,,0,,,,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Celek,00-0025549,no,PHI,TE,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,,,283,2,57,88,1,0,0,,295,684,,,,,,,,
D.Jackson,00-0024249,no,CLE,ILB,51,1,,2,,0,2,1,31,,,7,,5,,3.5,-5,1,63,4,6,5,,,0,,,0,,,,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Maclin,00-0026995,no,PHI,WR,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,40,,,,,,,,,,,,,,,,,387,190,69,122,7,0,0,,253,857,,,,,,,,
T.Ward,00-0027653,no,CLE,SS,18,3,,,,,1,,37,,,4,,3,,1,-10,,50,2,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Haden,00-0027860,no,CLE,CB,12,1,,,,,3,,64,,,10,,,,0,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Jackson,00-0026189,no,PHI,WR,,,,,,,,,,,,,,,,,,,1,,,,,1,0,,,1,1,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3,,-3,0,1,0,1,-3,343,96,45,87,2,0,0,,225,700,3,-7,0,0,0,0,,-7
A.Rubin,00-0026330,no,CLE,DT,14,2,,,,,0,,,,,2,,4,,2,-13,,30,4,20,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Kendricks,00-0029409,no,PHI,ILB,17,0,,,,,0,,,,,9,,1,,1,-5,,58,6,25,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Richardson,00-0029675,no,CLE,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,2,2,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,15,,,,,,,,,,,,,,,,,212,23,51,70,1,0,0,,432,367,267,196,105,11,0,0,,950
M.Massaquoi,00-0027026,no,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,1,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,0,17,33,0,0,0,,113,254,,,,,,,,
B.Weeden,00-0029677,no,CLE,QB,1,0,,,,,0,,,,,,,,,0,,,0,,,,,3,1,3,,2,2,,-3,6,2,-3,,,,,,,,,,,,,,,,,,,,,,,,,,517,297,1596,220,2202,17,17,28,-186,14,0,0,,3385,2,16,,,,,,,,,,,,,,,,,,,,,,,,,7,-9,27,94,0,0,0,0,,112
