name,id,home,team,pos,defense_ast,defense_ffum,defense_fgblk,defense_frec,defense_frec_tds,defense_frec_yds,defense_int,defense_int_tds,defense_int_yds,defense_misc_tds,defense_misc_yds,defense_pass_def,defense_puntblk,defense_qbhit,defense_safe,defense_sk,defense_sk_yds,defense_tds,defense_tkl,defense_tkl_loss,defense_tkl_loss_yds,defense_tkl_primary,defense_xpblk,fumbles_forced,fumbles_lost,fumbles_notforced,fumbles_oob,fumbles_rcv,fumbles_rec,fumbles_rec_yds,fumbles_tot,fumbles_trcv,fumbles_yds,kicking_fga,kicking_fgb,kicking_fgm,kicking_fgm_yds,kicking_fgmissed,kicking_fgmissed_yds,kicking_fgyds,kicking_i20,kicking_rec,kicking_tot,kicking_totpfg,kicking_touchback,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_xptot,kicking_yds,kickret_avg,kickret_fair,kickret_lng,kickret_lngtd,kickret_ret,kickret_tds,kickret_yds,passing_att,passing_cmp,passing_cmp_air_yds,passing_incmp,passing_incmp_air_yds,passing_int,passing_ints,passing_sk,passing_sk_yds,passing_tds,passing_twopta,passing_twoptm,passing_twoptmissed,passing_yds,penalty,penalty_yds,punting_avg,punting_blk,punting_i20,punting_lng,punting_pts,punting_tot,punting_touchback,punting_yds,puntret_avg,puntret_fair,puntret_lng,puntret_lngtd,puntret_ret,puntret_tds,puntret_tot,puntret_yds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tar,receiving_tds,receiving_twopta,receiving_twoptm,receiving_twoptmissed,receiving_yac_yds,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_twoptmissed,rushing_yds
M.Gruder,00-0028855,yes,ATL,,1,0,,,,,0,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Goda,00-0029374,no,BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
A.White,00-0029467,yes,ATL,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,0,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,2,2,0,0,0,,6,22,,,,,,,,
M.Regis,00-0028860,no,ATL,,1,0,,,,,0,,,,,,,,,0,,,5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Stewart,00-0029503,no,BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,1,15,1,1,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-1,0,0,0,0,,-4
T.Horn,00-0028848,yes,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L.Nzegwu,00-0028865,yes,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Gostkowski,00-0024333,no,NE,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,4,161,1,53,75,2,,11,12,3,5,0,5,0,5,685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.Chung,00-0027010,yes,NE,SS,2,0,,,,,1,,0,,,1,,,,0,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V.Wilfork,00-0022712,no,NE,NT,3,0,,,,,0,,,,,,,,,0,,,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Thomas,00-0024301,no,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
J.Edelman,00-0027150,no,NE,WR,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,1,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,3,29,0,5,0,5,40,39,0,6,10,0,0,0,,42,60,,,,,,,,
W.Herring,00-0025548,no,NO,,8,0,,,,,0,,,,,,,1,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Cole,00-0024588,no,NE,,2,0,,,,,0,,,,,2,,,,0,,,8,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Gronkowski,00-0027656,no,NE,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,16,4,5,1,0,0,,13,44,,,,,,,,
T.Brady,00-0019596,no,NE,QB,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,0,,,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,27,17,96,10,119,1,1,3,-30,1,0,0,,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Ridley,00-0028011,no,NE,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,16,0,1,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,3,5,0,0,0,,13,17,34,45,1,1,0,0,,152
D.Woodhead,00-0026019,no,NE,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,18,0,2,0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,0,4,7,0,0,0,,35,35,5,13,0,0,0,0,,16
B.Lloyd,00-0022097,no,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,1,4,0,0,0,,8,12,,,,,,,,
A.Hernandez,00-0027713,no,NE,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,1,0,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,5,0,1,0,1,5,31,0,6,8,0,0,0,,16,59,,,,,,,,
N.Solder,00-0027955,yes,NE,T,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W.Smith,00-0022911,no,NO,,1,1,,1,,5,0,,,,,,,2,,1,-11,,1,,,,,,0,,,0,,,0,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Connolly,00-0022979,no,NE,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Mayo,00-0026150,no,NE,MLB,3,0,,,,,0,,,,,2,,,,0,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Hightower,00-0029669,no,NE,OLB,3,0,,,,,0,,,,,,,2,,0,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Hall,00-0025578,no,NO,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0,5,9,0,0,0,,18,34,1,3,0,0,0,0,,3
M.Cannon,00-0028076,no,NE,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z.Mesko,00-0027749,no,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,,11,209,28,28,1,1317,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Aiken,00-0028496,no,NE,LS,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Gregory,00-0023998,no,NE,,0,0,,,,,1,,5,,,1,,,,0,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Arrington,00-0026071,no,NE,DB,1,0,,,,,0,,,,,1,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,26,0,1,0,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Jones,00-0029585,no,NE,DE,1,0,,,,,0,,,,,,,1,,1,-4,,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Love,00-0027236,yes,NE,DT,2,0,,,,,0,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Bushrod,00-0025512,no,NO,T,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Bolden,00-0029239,no,NE,RB,,,,,,,,,,,,,,,,,,,1,,,,,,1,2,,0,,,2,0,0,,,,,,,,,,,,,,,,,,,29,,29,0,1,0,29,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,0,3,0,3,1,18,0,4,12,0,0,0,,21,24,36,45,0,0,0,0,,129
A.Hicks,00-0029657,no,NO,DE,4,0,,,,,0,,,,,3,,1,,1,-8,,3,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Chamberlain,00-0026368,no,NO,,2,0,,,,,0,,,,,,,,,0,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Hoyer,00-0026625,no,NE,QB,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,0,,,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,47,22,93,25,278,1,1,5,-31,1,0,0,,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,0,0,0,0,,-1
D.McCourty,00-0027647,no,NE,FS,5,0,,,,,0,,,,,,,,,0,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,30,0,2,0,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Carpenter,00-0024233,no,NE,,4,0,,,,,0,,,,,1,,1,,0,,,7,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Silvestro,00-0028250,no,NE,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,7,6,10,1,0,0,,13,51,,,,,,,,
E.Kettani,00-0026826,no,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,0,5,6,0,0,0,,19,29,5,4,0,0,0,0,,12
R.Mallett,00-0028012,no,NE,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,33,122,34,281,1,1,2,-11,3,0,0,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,-1,0,0,0,0,,-4
D.Stallworth,00-0021147,no,NE,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,0,5,12,0,0,0,,8,61,,,,,,,,
M.Harrison,00-0026230,no,NE,,2,0,,,,,0,,,,,,,,,0,,,2,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Rivera,00-0026556,no,NE,,3,0,,,,,0,,,,,,,,,0,,,15,2,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Gaffney,00-0021163,yes,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,2,3,0,0,0,,5,18,,,,,,,,
T.Urban,00-0029093,yes,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,0,1,2,0,0,0,,15,20,,,,,,,,
B.Davis,00-0026650,yes,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,1,4,1,0,0,,0,3,,,,,,,,
T.Wilson,00-0029410,no,NE,SS,3,0,,,,,0,,,,,1,,,,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Vereen,00-0027994,no,NE,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,22,0,1,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,0,6,8,0,0,0,,60,46,23,23,0,0,1,1,,86
J.Holley,00-0024609,no,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,11,4,3,12,1,0,0,,1,16,,,,,,,,
C.Koepplin,00-0028254,yes,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,,,,,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Dowling,00-0027971,no,NE,,2,0,,,,,0,,,,,1,,,,0,,,9,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Scott,00-0026309,no,NE,,3,1,,,,,0,,,,,,,4,,2,-16,,7,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Moore,00-0028767,no,NE,CB,2,0,,,,,0,,,,,1,,,,0,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Williams,00-0028157,no,NE,,1,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Jones,00-0029659,no,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L.McCown,00-0022864,no,NO,QB,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,0,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,16,9,63,7,55,,0,2,-9,0,0,0,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Byrne,00-0029175,no,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
J.Tarpinian,00-0028251,no,NE,,8,0,,,,,0,,,,,,,,,0,,,10,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.Olsen,00-0027781,no,NO,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Broughton,00-0029246,no,NO,,2,0,,,,,0,,,,,,,2,,1,-5,,2,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Ebert,00-0029552,no,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,45,3,6,11,1,0,0,,29,46,,,,,,,,
A.Lavarias,00-0028246,no,NE,,2,0,,,,,0,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Bulman,00-0023219,yes,NE,,1,0,,,,,0,,,,,,,,,0,,,3,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F.Tupou,00-0026922,no,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Forston,00-0029240,no,NE,,2,0,,,,,0,,,,,,,1,,0,,,5,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Bequette,00-0029646,no,NE,,2,0,,,,,0,,,,,,,1,,1,-1,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Robinson,00-0029044,no,NO,,1,0,,,,,0,,,,,,,1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Slater,00-0026293,no,NE,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
W.Allen,00-0020467,yes,NE,,1,0,,,,,0,,,,,1,,,,0,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N.Koutouvides,00-0022710,no,NE,,3,0,,,,,0,,,,,,,,,0,,,14,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Tevis,00-0029173,no,NO,,1,0,,,,,0,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N.Ebner,00-0029570,no,NE,DB,2,0,,,,,1,,34,,,2,,,,0,,,9,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Simmons,00-0029172,no,NO,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Henery,00-0028058,no,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,5,183,3,134,134,4,,22,15,9,13,0,13,0,13,1434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I.Redman,00-0026566,no,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0,3,2,0,0,0,,17,13,17,11,2,1,0,0,,38
A.Dixon,00-0026541,no,PHI,,2,0,,,,,0,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Roethlisberger,00-0022924,no,PIT,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,29,161,12,170,1,1,2,-8,2,0,0,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,0,0,0,0,,7
N.Asomugha,00-0022077,no,PHI,,1,0,,,,,0,,,,,,,,,0,,,6,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Kendricks,00-0029409,no,PHI,ILB,5,0,,,,,0,,,,,,,,,0,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Johnson,00-0026957,no,PIT,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,2,2,0,0,0,,13,13,,,,,,,,
K.Coleman,00-0027835,no,PHI,FS,3,0,,,,,0,,,,,,,,,0,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.Hunt,00-0026759,no,PHI,,3,2,,,,,0,,,,,,,3,,3.5,-18,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Brown,00-0027793,no,PIT,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,96,11,17,3,0,0,,87,204,,,,,,,,
C.Rainey,00-0029140,no,PIT,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,0,,,1,0,0,,,,,,,,,,,,,,,,,,,44,,47,0,3,0,66,,,,,,,,,,,,,,,1,15,,,,,,,,,26,,37,0,7,0,7,61,61,57,6,9,1,0,0,,76,67,16,65,41,1,0,0,,62
J.Jarrett,00-0027992,no,PHI,FS,1,0,,,,,0,,,,,1,,,,0,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Tapp,00-0024278,no,PHI,DE,1,0,,2,,0,0,,,,,,,2,,0.5,-5,,1,,,,,,0,,,0,,,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Rolle,00-0028131,no,PHI,,3,0,,,,,0,,,,,,,1,,0.5,-5,,9,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.Sanders,00-0027685,no,PIT,WR,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,39,5,11,2,0,0,,3,74,,,,,,,,
F.Cox,00-0029653,no,PHI,DE,1,0,,,,,0,,,,,,,1,,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Thornton,00-0028424,no,PHI,DE,5,0,,,,,0,,,,,,,2,,2,-18,,8,3,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Suisham,00-0023001,no,PIT,K,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,126,,,95,,,14,9,8,8,0,8,0,8,947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
