name,id,home,team,pos,defense_ast,defense_ffum,defense_fgblk,defense_frec,defense_frec_tds,defense_frec_yds,defense_int,defense_int_tds,defense_int_yds,defense_misc_tds,defense_misc_yds,defense_pass_def,defense_puntblk,defense_qbhit,defense_safe,defense_sk,defense_sk_yds,defense_tds,defense_tkl,defense_tkl_loss,defense_tkl_primary,defense_xpblk,fumbles_forced,fumbles_lost,fumbles_notforced,fumbles_oob,fumbles_rcv,fumbles_rec,fumbles_rec_tds,fumbles_rec_yds,fumbles_tot,fumbles_trcv,fumbles_yds,kicking_fga,kicking_fgb,kicking_fgm,kicking_fgm_yds,kicking_fgmissed,kicking_fgmissed_yds,kicking_fgyds,kicking_i20,kicking_rec,kicking_tot,kicking_totpfg,kicking_touchback,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_xptot,kicking_yds,kickret_avg,kickret_fair,kickret_lng,kickret_ret,kickret_tds,kickret_yds,passing_att,passing_cmp,passing_cmp_air_yds,passing_incmp,passing_incmp_air_yds,passing_int,passing_ints,passing_sk,passing_sk_yds,passing_tds,passing_twopta,passing_twoptm,passing_twoptmissed,passing_yds,penalty,penalty_yds,punting_avg,punting_blk,punting_i20,punting_lng,punting_pts,punting_tot,punting_touchback,punting_yds,puntret_avg,puntret_fair,puntret_lng,puntret_ret,puntret_tds,puntret_tot,puntret_yds,receiving_lng,receiving_rec,receiving_tar,receiving_tds,receiving_twopta,receiving_twoptm,receiving_twoptmissed,receiving_yac_yds,receiving_yds,rushing_att,rushing_lng,rushing_tds,rushing_twopta,rushing_twoptm,rushing_twoptmissed,rushing_yds
B.Leber,00-0021197,no,MIN,,8,1,,,,,0,,,,,5,,3,,2,-15,,38,5,5,,,0,,,1,1,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Allen,00-0022740,no,MIN,DE,8,5,,3,1,54,1,,-4,,,4,,22,1,14.5,-102,1,42,19,8,,,0,,,0,,,,0,3,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Sapp,00-0022352,no,MIN,,3,2,,,,,0,,,,,6,,1,,0,,,40,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Zastudil,00-0021235,no,CLE,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313,,25,442,49,49,5,2188,,,,,,,,,,,,,,,,,,,,,,,
D.Jackson,00-0024249,no,CLE,ILB,13,1,,,,,0,,,,,2,,1,,0,,,45,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V.Shiancoe,00-0022054,no,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,25,,,,,,,,,,,,,,,,227,56,79,11,0,0,,225,566,,,,,,,
B.McDonald,00-0025527,no,CLE,,5,1,,,,,1,,39,,,10,,2,,2,-7,,49,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Dugan,00-0022746,no,MIN,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,32,5,0,38,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,,51,6,6,2,0,0,,10,52,3,7,0,0,0,,7
C.Mosley,00-0023624,no,CLE,,5,0,,,,,0,,,,,,,,,0,,,13,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Wimbley,00-0024228,no,CLE,,22,1,,,,,0,,,,,1,,14,,6.0,-58,,47,7,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Rice,00-0025431,no,MIN,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,0,,0,1,0,0,1,0,,1,8,,0,,,0,0,0,,0,3,20,,,,,,,,,,,,,,,,474,84,122,8,0,0,,375,1312,,,,,,,
K.Onatolu,00-0026486,no,MIN,,3,0,,,,,0,,,,,,,,,0,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Reynaud,00-0025951,no,MIN,,,,,,,,,,,,,,,,,,,,,,,,1,0,2,,2,2,,0,3,2,0,,,,,,,,,,,,,,,,,,,63,,66,4,0,90,,,,,,,,,,,,,,,,,,,,,,,,,99,13,180,30,0,30,308,,,2,,,,,,,,,,,,,
N.Tahi,00-0023774,no,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,0,0,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,62,10,12,1,0,0,,68,67,3,5,0,0,0,,5
L.Vickers,00-0024394,no,CLE,,,,,,,,,,,,,,,,,,,,1,,,,1,0,,,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,0,,0,1,0,0,,,,,,,,,,,,,,,2,15,,,,,,,,,,,,,,,,27,8,18,1,0,0,,29,27,,,,,,,
S.Heiden,00-0007213,no,CLE,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,,47,10,17,1,0,0,,22,73,,,,,,,
P.Williams,00-0017899,no,MIN,,11,2,,,,,0,,,,,3,,3,,2,-9,,34,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Kennedy,00-0022155,no,MIN,,3,0,,,,,0,,,,,1,,4,,2,-11,,14,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,6,1,0,6,,,,,,,,,,,,,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Pool,00-0023469,no,CLE,,11,0,,,,,4,,33,,,10,,1,,1,-6,,39,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Francies,00-0027128,no,CLE,,1,0,,,,,0,,,,,1,,,,0,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Berrian,00-0022807,no,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,30,,,,,,,,,6,,8,2,0,2,13,309,55,92,4,0,0,,205,618,,,,,,,
E.Wright,00-0025440,no,CLE,,8,0,,,,,4,,74,,,14,,,,0,,,57,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Rogers,00-0020528,no,CLE,,9,0,1,,,,0,,,,,1,,8,,2,-9,,27,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Hall,00-0026371,no,CLE,,2,0,,1,,0,0,,,,,,,1,,0,,,8,,1,,,0,,,0,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Williams,00-0022906,no,CLE,,4,1,,,,,0,,,,,4,,12,,4,-25,,27,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Abdullah,00-0025940,no,MIN,FS,3,0,,,,,0,,,,,1,,1,,1,-14,,15,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Williams,00-0022842,no,MIN,,11,0,,1,,0,0,,,,,4,,2,,0,,,62,2,10,,,0,,,0,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Adams,00-0022247,no,CLE,SS,11,0,,1,,1,0,,,,,8,,2,,1,-6,,60,4,5,,,0,,,0,,,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Brinkley,00-0027108,no,MIN,MLB,1,1,,,,,0,,,,,,,,,0,,,30,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Furrey,00-0019281,no,CLE,,0,0,,,,,0,,,,,2,,,,0,,,16,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,12,1,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,23,39,0,0,0,,70,170,,,,,,,
J.Kleinsasser,00-0009323,no,MIN,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,30,,,,,,,,,,,,,,,,54,10,16,0,0,0,,28,70,,,,,,,
J.Thomas,00-0025390,no,CLE,T,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Rubin,00-0026330,no,CLE,DT,15,1,,,,,0,,,,,,,1,,0,,,23,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.St. Clair,00-0019666,no,CLE,,,,,,,,,,,,,,,,,,,,2,,,,,0,,,1,1,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L.Guion,00-0026292,no,MIN,NT,0,0,,,,,0,,,,,1,,1,,1,-2,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Mitchell,00-0023893,no,MIN,,1,0,,,,,0,,,,,,,1,,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Robison,00-0025489,no,MIN,DE,2,1,,,,,0,,,,,,,8,,4.5,-40,,8,6,1,,1,1,,,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,7,1,7,2,0,7,,,,,,,,,,,,,,,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Jackson,00-0024279,no,MIN,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,14,47,7,24,,0,,,1,0,0,,201,1,5,,,,,,,,,,,,,,,,,,,,,,,,,17,1,0,0,0,,-10
M.Massaquoi,00-0027026,no,CLE,,,,,,,,,,,,,,,,,,,,5,,,,1,1,,,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,,357,34,95,3,0,0,,171,624,1,-3,0,0,0,,-3
C.Thompson,00-0022166,no,HOU,,2,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Jones,00-0025460,no,HOU,,,,,,,,,,,,,,,,,,,,2,,,,,0,3,1,1,1,,0,3,1,0,,,,,,,,,,,,,,,,,,,260,,288,24,1,638,,,,,,,,,,,,,,,1,5,,,,,,,,,122,13,265,40,0,40,426,267,27,40,6,0,0,,138,437,3,22,0,0,0,,22
J.Feely,00-0019770,no,NYJ,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,36,1,30,1102,6,254,577,13,,82,90,10,32,0,32,0,32,5378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Slaton,00-0026229,no,HOU,,,,,,,,,,,,,,,,,,,,,,,,6,5,1,,0,,,,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,44,55,4,0,0,,436,417,131,156,3,0,0,,437
K.Jenkins,00-0020380,no,NYJ,,2,0,,,,,0,,,,,,,2,,0,,,11,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Douglas,00-0004472,no,NYJ,,28,1,,2,1,1,0,,,,,,,2,,1.5,-12,1,36,6,18,,,0,,,0,,,,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Scott,00-0020873,no,NYJ,,25,0,,,,,0,,,,,1,,11,,1,-15,,66,12,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Harris,00-0025434,no,NYJ,ILB,45,2,,,,,2,,24,,,3,,13,,5.5,-53,,82,4,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Johnson,00-0022044,no,HOU,WR,,,,,,,,,,,,,,,,,,,4,,,,1,0,,,1,1,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625,101,171,9,1,1,,539,1569,2,10,0,0,0,,10
M.Schaub,00-0022787,no,HOU,QB,,,,,,,,,,,,,,,,,,,1,,,,1,2,2,,1,1,,-2,3,1,-2,,,,,,,,,,,,,,,,,,,,,,,,,583,396,2609,187,1835,15,15,26,-153,29,2,1,1,4770,,,,,,,,,,,,,,,,,,,,,,,,,,,47,67,0,0,0,,61
D.Revis,00-0025401,no,NYJ,CB,7,0,,,,,6,1,121,,,31,,,,0,,1,47,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,20,,,,,,,,,2,,3,2,0,2,5,,,,,,,,,,,,,,,,
J.Leonhard,00-0023287,no,NYJ,,22,1,,,,,1,,44,,,6,,3,,2.5,-34,,54,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,7,1,0,7,,,,,,,,,,,,,,,,,,,,,,,,,67,14,99,20,0,20,173,,,,,,,,,,,,,,,,
C.Brown,00-0022092,no,HOU,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,1,4,1,1,,,0,0,0,,0,,,,,,,,,,,,,,,,,,51,16,21,0,1,0,1,63,74,79,100,3,0,0,,267
M.Turk,00-0016689,no,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638,,24,795,67,67,6,2861,,,,,,,,,,,,,,,,,,,,,,,
J.Dreessen,00-0023630,no,HOU,,2,,,,,,,,,,,,,,,,,,5,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,26,39,1,0,0,,150,320,,,,,,,
A.Molden,00-0026219,no,HOU,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L.Washington,00-0024332,no,NYJ,,0,0,,,,,0,,,,,,,,,0,,,3,,1,,1,1,,,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,133,,163,16,0,385,,,,,,,,,,,,,,,,,,,,,,,,,8,1,12,2,0,2,16,88,15,26,0,0,0,,109,131,71,98,0,0,0,,330
T.Jones,00-0019641,no,NYJ,,,,,,,,,,,,,,,,,,,,1,,,,2,0,,1,2,2,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,,,,,,,,,,,,,,,,50,10,18,0,0,0,,75,58,332,343,14,0,0,,1402
F.Bennett,00-0025510,no,HOU,,3,0,,,,,0,,,,,1,,,,0,,,15,,2,,,0,,,1,1,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z.Diles,00-0025605,no,HOU,,17,2,,1,,0,0,,,,,1,,1,1,0,,,45,7,11,,,0,,,0,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Sanchez,00-0026898,no,NYJ,QB,,,,,,,,,,,,,,,,,,,,,,,7,3,3,,2,2,,0,10,2,0,,,,,,,,,,,,,,,,,,,,,,,,,363,196,1447,167,1960,20,20,26,-195,12,5,2,3,2444,8,72,,,,,,,,,,,,,,,,,,,,,,,,,36,77,3,0,0,,106
D.Robinson,00-0022735,no,HOU,,10,1,,,,,0,,,,,9,,,,0,,,55,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Stuckey,00-0025622,no,NYJ,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,30,65,2,0,0,,137,318,2,6,0,0,0,,6
G.Quin,00-0027081,no,HOU,FS,12,0,,,,,0,,,,,11,,,,0,,,56,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Weatherford,00-0024110,no,NYJ,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,1,-3,1,1,,,0,0,0,,0,,,598,,25,829,80,80,9,3357,,,,,,,,,,,,,,,,,2,42,0,0,0,,42
E.Smith,00-0024312,no,NYJ,,10,0,,,,,1,,0,,,6,1,2,,0,,,38,4,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,9,1,0,9,,,,,,,,,,,,,,,2,18,,,,,,,,,,,,,,,,27,1,1,0,0,0,,24,27,,,,,,,
O.Daniels,00-0024313,no,HOU,TE,,,,,,,,,,,,,,,,,,,1,,,,1,0,,1,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,15,,,,,,,,,,,,,,,,224,40,58,5,0,0,,223,519,,,,,,,
S.Cody,00-0023472,no,HOU,,8,0,,,,,0,,,,,1,,2,,1,-1,,13,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Williams,00-0023750,no,HOU,DE,5,2,,1,,0,0,,,,,3,,20,,9,-52,,38,13,6,,,0,,,0,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Ryans,00-0024248,no,HOU,ILB,30,1,,1,,29,0,,,,,2,,5,,1,-7,,93,14,21,,,0,,,0,,,,0,1,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Okoye,00-0025397,no,HOU,,12,0,,,,,0,,,,,3,,6,,1.5,-11,,26,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Cotchery,00-0022811,no,NYJ,WR,,,,,,,,,,,,,,,,,,,2,,,,,0,1,,1,1,,0,1,1,0,,,,,,,,,,,,,,,,,,,17,,17,1,0,17,,,,,,,,,,,,,,,,,,,,,,,,,75,12,120,23,0,23,236,396,57,96,3,0,0,,299,821,2,7,1,0,0,,7
D.Keller,00-0026170,no,NYJ,,,1,,,,,,,,,,,,,,,,,3,,,,1,1,,,1,1,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,25,,,,,,,,,,,,,,,,247,45,82,2,2,1,1,174,522,1,7,0,0,0,,7
D.Barber,00-0026313,no,HOU,,5,0,,1,,0,1,,3,,,4,,1,,0,,,28,,4,,,0,,,1,1,1,48,0,2,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Smith,00-0024318,no,NYJ,,4,,,,,,,,,1,4,,,,,,,1,11,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253,,266,10,1,310,1,1,3,,,,0,,,0,0,0,,27,3,30,,,,,,,,,27,,27,2,0,2,27,61,7,12,0,0,0,,49,63,18,166,1,0,0,,207
A.Faneca,00-0005058,no,NYJ,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,1,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N.Ferguson,00-0005155,no,HOU,,2,0,,,,,0,,,,,1,,,,0,,,8,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Bulman,00-0023219,no,HOU,,6,0,,,,,0,,,,,1,,3,,0,,,12,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Cushing,00-0026991,no,HOU,ILB,47,2,,,,,4,,26,,,10,,13,1,5.0,-46,,87,13,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Ferguson,00-0024219,no,NYJ,T,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,1,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W.Wright,00-0024171,no,NYJ,,8,,,,,,,,,,,,,,,,,,15,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,,,,,,,,,,,,,,,,14,2,3,0,0,0,,2,21,,,,,,,
V.Gholston,00-0026146,no,NYJ,,5,0,,,,,0,,,,,,,,,0,,,12,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V.Leach,00-0022397,no,HOU,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,1,,0,0,1,0,,,,,,,,,,,,,,,,,,,11,,15,2,0,23,,,,,,,,,,,,,,,2,25,,,,,,,,,,,,,,,,119,20,26,1,0,0,,110,155,,,,,,,
K.Rhodes,00-0023557,no,NYJ,,8,0,,1,,44,3,,17,,,14,,2,,0,,,54,2,16,,,0,,,0,,,,0,1,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Thomas,00-0021081,no,NYJ,,12,1,,2,,7,0,,,,,1,,7,,2.0,-20,,41,6,19,1,,0,,,0,,,,0,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Davis,00-0021175,no,HOU,,2,,,2,,0,,,,,,,,,,,,,10,,7,,,0,,,0,,,,0,2,0,,,,,,,,,,,,,,,,,,,267,,348,33,0,782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,6,11,0,0,0,,20,59,,,,,,,
B.Moore,00-0020969,no,NYJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X.Adibi,00-0026258,no,HOU,,2,1,,,,,0,,,,,,,1,,0,,,9,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L.Sheppard,00-0021157,no,NYJ,,6,0,,,,,1,,0,,,8,,,,0,,,25,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Pitts,00-0021178,no,HOU,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Devito,00-0025689,no,NYJ,DE,8,0,,3,,8,0,,,,,,,1,,0,,,20,1,9,,,0,1,1,0,,,,1,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Strickland,00-0022158,no,NYJ,,4,1,,,,,0,,,,,2,,3,,2,-6,,22,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Hartsock,00-0022847,no,NYJ,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,22,,,,,,,,,,,,,,,,2,1,4,1,0,0,,0,2,,,,,,,
J.Zgonina,00-0018503,no,HOU,,5,0,,1,,0,0,,,,,,,2,,1.5,-15,,23,3,9,,,0,,,0,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
